iter	Passed	Remaining
403	10001	10496
404	10025	10471
405	10049	10445
406	10074	10420
407	10098	10395
408	10127	10375
409	10154	10353
410	10179	10327
411	10203	10302
412	10228	10278
413	10253	10253
414	10279	10229
415	10305	10206
416	10330	10181
417	10354	10156
418	10378	10130
419	10404	10107
420	10429	10083
421	10455	10058
422	10480	10034
423	10505	10009
424	10530	9985
425	10555	9961
426	10580	9936
427	10605	9911
428	10631	9888
429	10655	9862
430	10679	9836
431	10704	9812
432	10730	9788
433	10754	9763
434	10779	9738
435	10804	9714
436	10829	9689
437	10854	9664
438	10879	9640
439	10904	9615
440	10930	9592
441	10955	9567
442	10982	9544
443	11007	9520
444	11032	9495
445	11058	9471
446	11084	9447
447	11108	9422
448	11134	9398
449	11160	9374
450	11184	9349
451	11209	9324
452	11234	9300
453	11260	9276
454	11285	9251
455	11311	9227
456	11335	9202
457	11359	9177
458	11384	9152
459	11409	9127
460	11434	9103
461	11459	9078
462	11483	9052
463	11507	9027
464	11533	9003
465	11559	8979
466	11582	8953
467	11606	8928
468	11631	8903
469	11655	8878
470	11680	8853
471	11705	8828
472	11731	8804
473	11757	8780
474	11782	8755
475	11807	8731
476	11833	8707
477	11858	8683
478	11883	8658
479	11908	8633
480	11934	8609
481	11960	8585
482	11988	8563
483	12015	8539
484	12040	8515
485	12067	8491
486	12093	8467
487	12120	8444
488	12147	8421
489	12174	8398
490	12202	8375
491	12229	8352
492	12255	8328
493	12283	8305
494	12310	8281
495	12336	8257
496	12362	8233
497	12390	8210
498	12422	8190
499	12450	8167
500	12474	8142
501	12498	8116
502	12521	8090
503	12544	8064
504	12568	8039
505	12593	8014
506	12619	7990
507	12644	7965
508	12668	7939
509	12692	7914
510	12716	7888
511	12738	7862
512	12762	7836
513	12785	7810
514	12811	7786
515	12837	7762
516	12863	7737
517	12888	7713
518	12914	7688
519	12939	7664
520	12965	7639
521	12989	7614
522	13014	7589
523	13041	7565
524	13066	7541
525	13090	7515
526	13115	7490
527	13143	7467
528	13170	7443
529	13194	7418
530	13218	7393
531	13241	7367
532	13269	7344
533	13294	7319
534	13317	7293
535	13340	7267
536	13365	7242
537	13389	7217
538	13413	7192
539	13438	7166
540	13463	7142
541	13488	7117
542	13512	7092
543	13537	7067
544	13561	7041
545	13584	7016
546	13608	6990
547	13632	6965
548	13656	6940
549	13681	6915
550	13707	6891
551	13732	6866
552	13757	6841
553	13781	6816
554	13806	6791
555	13830	6765
556	13855	6740
557	13880	6716
558	13905	6691
559	13929	6666
560	13953	6640
561	13976	6615
562	14001	6590
563	14025	6565
564	14049	6539
565	14075	6515
566	14101	6491
567	14128	6467
568	14155	6443
569	14181	6419
570	14206	6394
571	14231	6369
572	14257	6344
573	14282	6320
574	14307	6295
575	14332	6270
576	14356	6245
577	14382	6220
578	14410	6197
579	14437	6173
580	14464	6149
581	14496	6127
582	14523	6103
583	14552	6079
584	14577	6055
585	14607	6032
586	14642	6011
587	14674	5989
588	14708	5968
589	14732	5942
590	14756	5917
591	14779	5892
592	14804	5866
593	14829	5841
594	14855	5817
595	14879	5791
596	14904	5766
597	14929	5741
598	14953	5716
599	14978	5691
600	15003	5666
601	15026	5641
602	15052	5616
603	15078	5592
604	15103	5567
605	15129	5542
606	15155	5518
607	15180	5492
608	15204	5467
609	15227	5441
610	15252	5416
611	15279	5392
612	15303	5367
613	15328	5342
614	15354	5317
615	15379	5292
616	15405	5268
617	15429	5243
618	15455	5218
619	15480	5193
620	15506	5168
621	15530	5143
622	15554	5118
623	15578	5093
624	15602	5067
625	15626	5042
626	15650	5017
627	15674	4991
628	15699	4966
629	15723	4941
630	15750	4917
631	15774	4892
632	15799	4867
633	15823	4841
634	15846	4816
635	15870	4791
636	15894	4765
637	15919	4740
638	15944	4715
639	15969	4691
640	15993	4665
641	16017	4640
642	16041	4615
643	16066	4590
644	16091	4565
645	16115	4540
646	16140	4515
647	16168	4491
648	16192	4466
649	16216	4440
650	16243	4416
651	16268	4391
652	16292	4366
653	16317	4341
654	16342	4316
655	16367	4291
656	16394	4267
657	16426	4243
658	16459	4221
659	16492	4198
660	16529	4176
661	16561	4152
662	16591	4128
663	16617	4104
664	16641	4079
665	16667	4054
666	16691	4028
667	16714	4003
668	16739	3978
669	16764	3953
670	16789	3928
671	16813	3903
672	16840	3878
673	16865	3853
674	16890	3828
675	16916	3803
676	16941	3778
677	16966	3753
678	16991	3728
679	17017	3703
680	17042	3678
681	17067	3653
682	17092	3628
683	17118	3603
684	17143	3578
