number,value,datetime_start,datetime_complete,duration,params_base_max_depth,params_base_max_features,params_base_min_samples_leaf,params_base_min_samples_split,params_learning_rate,params_minibatch_frac,params_n_estimators,state
0,0.8607944640810548,2026-02-27 12:51:52.586827,2026-02-27 12:58:34.783464,0 days 00:06:42.196637,5,0.7537846170618119,21,42,0.0070646182329743646,0.7559052786778259,1173,COMPLETE
1,0.8553437797960146,2026-02-27 12:58:34.784904,2026-02-27 13:08:42.859205,0 days 00:10:08.074301,7,0.9872839764681407,1,9,0.006037750601963626,0.8243725719505532,1007,COMPLETE
2,0.8567865088461056,2026-02-27 13:08:42.860209,2026-02-27 13:11:59.918852,0 days 00:03:17.058643,8,0.5018883012617621,16,47,0.03600426320001392,0.5506817700792991,699,COMPLETE
3,0.863191869480213,2026-02-27 13:11:59.919856,2026-02-27 13:14:33.052987,0 days 00:02:33.133131,4,0.5012131077163033,25,50,0.003217083227303562,0.9654144128774189,586,COMPLETE
4,0.857635003033776,2026-02-27 13:14:33.054006,2026-02-27 13:16:16.434649,0 days 00:01:43.380643,5,0.45649468229005963,5,48,0.09457982504511303,0.9014138553533859,385,COMPLETE
5,0.8641855515212219,2026-02-27 13:16:16.435645,2026-02-27 13:20:00.681391,0 days 00:03:44.245746,5,0.5622624834776571,37,34,0.0018193122215125665,0.802556913247277,802,COMPLETE
6,0.8649175101848197,2026-02-27 13:20:00.682425,2026-02-27 13:22:23.513293,0 days 00:02:22.830868,10,0.7175633673780558,17,35,0.07054113441101378,0.6276952463128158,1254,PRUNED
7,0.8634097716481591,2026-02-27 13:22:23.514330,2026-02-27 13:25:06.266162,0 days 00:02:42.751832,4,0.7989296149532708,27,23,0.004457493789925469,0.9030708341042302,459,COMPLETE
8,0.8734963546532345,2026-02-27 13:25:06.267185,2026-02-27 13:25:29.337713,0 days 00:00:23.070528,8,0.5770291216488093,21,12,0.0029003517907427155,0.6638320370947239,335,PRUNED
9,0.8658974680008862,2026-02-27 13:25:29.339739,2026-02-27 13:28:16.849199,0 days 00:02:47.509460,10,0.8514188524892571,24,10,0.019229191292452753,0.9300457318674145,1171,PRUNED
10,0.8632002966358794,2026-02-27 13:28:16.849199,2026-02-27 13:36:32.128318,0 days 00:08:15.279119,6,0.6091442395243992,44,27,0.001103425240323173,0.7943385831483124,1481,COMPLETE
