number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_early_stopping_rounds,params_learning_rate,params_max_depth,params_min_child_samples,params_min_child_weight,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
10,0.8756573181419807,2026-01-04 12:03:24.674074,2026-01-04 12:03:24.982430,0 days 00:00:00.308356,0.6157721645430074,58,0.20708921030230185,10,194,0.009467377098665967,1421,90,0.6051768521122383,0.015899533526201333,1.0579996109763992,0.8376645866578408,0.8756573181419807,,PRUNED
11,0.8663299616684805,2026-01-04 12:03:24.984425,2026-01-04 12:03:25.565701,0 days 00:00:00.581276,0.7377584436745307,62,0.2924235299060974,6,47,0.4067412918591703,1609,193,0.021255532221653297,7.292231271538379,3.4882191975515857,0.9981028224300197,0.8663299616684805,,PRUNED
12,0.8665397376506054,2026-01-04 12:03:25.567697,2026-01-04 12:03:26.646897,0 days 00:00:01.079200,0.896788551876866,98,0.09095055498524336,8,55,0.03437095888474853,2006,115,0.02714496038706413,0.06493306486443307,3.4421759842074855,0.9024814976050519,0.8665397376506054,,PRUNED
13,0.8676507979312538,2026-01-04 12:03:26.647898,2026-01-04 12:03:27.730452,0 days 00:00:01.082554,0.7662927325061528,68,0.0939793191250468,5,64,2.7170660249762633,2286,176,0.9601890344528909,0.15495058673167952,0.9637209457337094,0.980700155916637,0.8788295403106972,0.8704297729001936,COMPLETE
14,0.8764603056890523,2026-01-04 12:03:27.733467,2026-01-04 12:03:28.345908,0 days 00:00:00.612441,0.6616483257191189,68,0.05574900575915031,5,34,7.298050564586167,503,208,1.2434546157313195,0.15302027982236896,0.9528178560155369,0.9970518834238599,0.8764603056890523,,PRUNED
15,0.8658774836031629,2026-01-04 12:03:28.348253,2026-01-04 12:03:30.606125,0 days 00:00:02.257872,0.7816068596220711,51,0.026693848911181442,5,10,1.7512877176502035,1754,132,1.3531953424333867,0.12707622954776374,0.8085742102408605,0.8629720016891064,0.8685782064123432,,COMPLETE
16,0.8750914948329497,2026-01-04 12:03:30.608481,2026-01-04 12:03:31.797736,0 days 00:00:01.189255,0.7715892218754458,50,0.0219692878868094,5,11,1.8265684514005456,1435,126,1.7951669675695883,0.06149126068439004,0.9126483521275365,0.7818704753614197,0.8750914948329497,,PRUNED
17,0.8692749516040489,2026-01-04 12:03:31.798737,2026-01-04 12:03:32.733752,0 days 00:00:00.935015,0.850148848615429,50,0.11098785855855403,4,58,1.7295048971631166,2266,72,0.8924765047224138,0.08844226634585577,1.5769422317841926,0.8551244978625707,0.8781746299274784,0.8692749516040489,PRUNED
18,0.8757464052161685,2026-01-04 12:03:32.735747,2026-01-04 12:03:33.836354,0 days 00:00:01.100607,0.7856850653159848,56,0.029994415579002502,5,33,2.192941283685793,1721,145,2.9292869875467504,0.010770475199303669,0.7628847427668934,0.7206532606190408,0.8757464052161685,,PRUNED
19,0.8712438963315389,2026-01-04 12:03:33.839451,2026-01-04 12:03:34.459131,0 days 00:00:00.619680,0.6851536043171811,66,0.009207474661238033,8,10,0.4745497423444219,2929,95,0.047732547526338556,0.8502482711842275,1.3440714130520186,0.8112003665600692,0.8712438963315389,,PRUNED
20,0.8559552301335824,2026-01-04 12:03:34.460405,2026-01-04 12:03:34.848801,0 days 00:00:00.388396,0.7475972037867836,56,0.0011302018353328217,4,70,3.3780658363415927,1142,110,0.3243253699791269,3.1443951005482083,1.9110757836907333,0.8832011653004582,0.8559552301335824,,PRUNED
21,0.8688138658011577,2026-01-04 12:03:34.850183,2026-01-04 12:03:36.352234,0 days 00:00:01.502051,0.798236485603267,69,0.04005626759418682,6,114,9.697298170100348,1932,16,0.15118301614495155,0.37032608164813835,0.7059612783902072,0.9388766939397739,0.8765060531055272,0.8688138658011577,PRUNED
22,0.8651606938197649,2026-01-04 12:03:36.354229,2026-01-04 12:03:37.367779,0 days 00:00:01.013550,0.9197641967759326,63,0.09511938678579668,5,135,0.7024460145537387,1767,188,0.499382715794884,0.16015279370678193,0.500514218473799,0.8890425606249573,0.8675648409434562,,COMPLETE
23,0.8660349510261867,2026-01-04 12:03:37.369838,2026-01-04 12:03:38.372209,0 days 00:00:01.002371,0.8713091017724985,60,0.09527860414038668,5,161,0.8177295620037239,2223,151,0.6100755754009635,0.11599469727512805,0.5005262605387564,0.8735612475692466,0.868671206094519,,COMPLETE
24,0.874478720228063,2026-01-04 12:03:38.374442,2026-01-04 12:03:38.749018,0 days 00:00:00.374576,0.8653171012925831,60,0.11606619061147669,5,176,1.1424686933891595,2287,153,2.415353830952975,0.028576937022095444,1.142131408610687,0.7523497694844062,0.874478720228063,,PRUNED
25,0.8726939690458534,2026-01-04 12:03:38.751634,2026-01-04 12:03:40.361427,0 days 00:00:01.609793,0.8241168668982448,53,0.012211374782337494,4,37,0.25526944905166454,2207,138,0.9743668476428063,0.12968064443335608,0.7716671620979821,0.9641270580184307,0.8726939690458534,,PRUNED
