number,value,datetime_start,datetime_complete,duration,params_base_max_depth,params_base_max_features,params_base_min_samples_leaf,params_base_min_samples_split,params_learning_rate,params_minibatch_frac,params_n_estimators,state
0,0.859309840028508,2025-12-31 15:25:14.307836,2025-12-31 15:26:31.211040,0 days 00:01:16.903204,7,0.8001254913892248,15,17,0.009166080569548896,0.6335652954919282,1207,COMPLETE
1,0.8559567951767777,2025-12-31 15:26:31.212525,2025-12-31 15:27:14.956842,0 days 00:00:43.744317,7,0.9314209942959957,14,2,0.050252461227493404,0.705798108585104,541,COMPLETE
2,0.8659658483497221,2025-12-31 15:27:14.958136,2025-12-31 15:28:37.502505,0 days 00:01:22.544369,6,0.7234225162523041,14,42,0.002504617745700087,0.6140448215108855,1418,COMPLETE
3,0.8550849457291175,2025-12-31 15:28:37.504691,2025-12-31 15:31:50.436287,0 days 00:03:12.931596,9,0.6527852669230376,21,20,0.024598736847446442,0.7433692081743681,1416,COMPLETE
4,0.8542034652464101,2025-12-31 15:31:50.437339,2025-12-31 15:33:58.508042,0 days 00:02:08.070703,8,0.7611554118471827,29,16,0.023676257438619452,0.6439853554353249,1234,COMPLETE
5,0.8623534878793423,2025-12-31 15:33:58.510207,2025-12-31 15:35:26.569070,0 days 00:01:28.058863,6,0.5870399169588593,19,32,0.0011222089760427236,0.9957803298723658,1028,COMPLETE
6,0.8642963084242663,2025-12-31 15:35:26.570071,2025-12-31 15:35:45.532527,0 days 00:00:18.962456,9,0.982806146203664,20,16,0.009799402729200823,0.5503674803369782,1180,PRUNED
7,0.8640242316841791,2025-12-31 15:35:45.533564,2025-12-31 15:36:02.739340,0 days 00:00:17.205776,10,0.6999796812583339,21,5,0.0067647007154074505,0.642319507906555,1088,PRUNED
8,0.8631622540474425,2025-12-31 15:36:02.741347,2025-12-31 15:36:10.628282,0 days 00:00:07.886935,9,0.8537472754595963,36,15,0.014137360364596101,0.8814326283396424,381,PRUNED
9,0.8660876809430709,2025-12-31 15:36:10.628282,2025-12-31 15:36:26.736311,0 days 00:00:16.108029,10,0.9437600100243184,43,48,0.010930345891192949,0.5296277318024329,1122,PRUNED
10,0.8591343144147701,2025-12-31 15:36:26.736311,2025-12-31 15:37:04.015489,0 days 00:00:37.279178,4,0.4831352419227958,1,46,0.0021239904212360145,0.8273361259669851,715,COMPLETE
11,0.8638263139139563,2025-12-31 15:37:04.016915,2025-12-31 15:38:42.298664,0 days 00:01:38.281749,5,0.5697477987142546,5,36,0.0010464996016538984,0.8875629479313812,1489,COMPLETE
12,0.8640425306507691,2025-12-31 15:38:42.299952,2025-12-31 15:40:05.863628,0 days 00:01:23.563676,5,0.42839693290609276,3,37,0.0029211853695450033,0.8623757959400823,1494,COMPLETE
13,0.8673300844641774,2025-12-31 15:40:05.864640,2025-12-31 15:40:19.228514,0 days 00:00:13.363874,5,0.41138085983152883,8,39,0.0033849181417348146,0.8253143199484694,1345,PRUNED
14,0.8610024944380772,2025-12-31 15:40:19.229558,2025-12-31 15:41:16.301233,0 days 00:00:57.071675,4,0.5678333956564219,10,29,0.003366949505815825,0.999950574890504,898,COMPLETE
15,0.8631092833546822,2025-12-31 15:41:16.302718,2025-12-31 15:42:35.988000,0 days 00:01:19.685282,6,0.40541422101245617,1,41,0.0034145493566192313,0.8065191390718393,1495,COMPLETE
16,0.8657920081671175,2025-12-31 15:42:35.990037,2025-12-31 15:43:51.064720,0 days 00:01:15.074683,6,0.6691295445030904,29,42,0.002014056007297743,0.5778013074642346,1329,COMPLETE
17,0.8657139967832344,2025-12-31 15:43:51.065818,2025-12-31 15:44:41.069366,0 days 00:00:50.003548,7,0.6662627031289431,29,50,0.002077816545824721,0.5822970580793958,887,COMPLETE
18,0.8652483362386956,2025-12-31 15:44:41.070716,2025-12-31 15:45:50.054117,0 days 00:01:08.983401,6,0.7652740984293527,34,43,0.001522978413591931,0.5003521117381653,1317,COMPLETE
19,0.8726151149464032,2025-12-31 15:45:50.055129,2025-12-31 15:46:10.248603,0 days 00:00:20.193474,8,0.8504683457834286,49,26,0.004571368374614032,0.698733193159284,1311,PRUNED
20,0.8585465805010065,2025-12-31 15:46:10.250676,2025-12-31 15:46:35.724583,0 days 00:00:25.473907,6,0.6304321644131496,38,33,0.09629070507039651,0.5932859177483614,1006,PRUNED
21,0.865008523466017,2025-12-31 15:46:35.724583,2025-12-31 15:47:25.333876,0 days 00:00:49.609293,7,0.6760811948116064,28,50,0.0018459606420584218,0.5819930891071753,807,COMPLETE
22,0.8735445098284713,2025-12-31 15:47:25.334886,2025-12-31 15:47:34.440559,0 days 00:00:09.105673,8,0.7260772097757572,30,44,0.005254118194710176,0.5945138680586278,697,PRUNED
23,0.8645298610241643,2025-12-31 15:47:34.441559,2025-12-31 15:48:25.581686,0 days 00:00:51.140127,6,0.5147917721265693,25,50,0.002114811476250655,0.6903316429779067,913,COMPLETE
24,0.8653008253797034,2025-12-31 15:48:25.583133,2025-12-31 15:49:07.690161,0 days 00:00:42.107028,5,0.6200621219349088,33,45,0.0014110563526797638,0.5488404508705177,915,COMPLETE
