number,value,datetime_start,datetime_complete,duration,params_auto_class_weights,params_bagging_temperature,params_depth,params_early_stopping_rounds,params_iterations,params_l2_leaf_reg,params_learning_rate,params_random_strength,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.863737949167397,2026-01-04 15:19:51.132617,2026-01-04 15:23:46.226122,0 days 00:03:55.093505,Balanced,1.3629630264132082,8,98,1594,13.849507661133075,0.0029813770307052724,3.8998790405940174,,,COMPLETE
1,0.8724253835559708,2026-01-04 15:23:46.227280,2026-01-04 15:24:04.921331,0 days 00:00:18.694051,None,1.8512537739519748,6,50,1752,5.4181589388967515,0.14783979348659035,3.563510134914501,0.8793724899114908,0.8735252477583766,COMPLETE
2,0.8658406448941068,2026-01-04 15:24:04.922523,2026-01-04 15:24:40.871822,0 days 00:00:35.949299,None,1.8441200300098726,10,70,1412,2.894574379361577,0.08210795783307676,0.37690620821488274,0.8682486444318172,,COMPLETE
3,0.8717353198948292,2026-01-04 15:24:40.872833,2026-01-04 15:25:13.564855,0 days 00:00:32.692022,Balanced,4.010738210400795,6,85,1920,29.957775247880715,0.08990424563322696,2.180867119478397,0.8740567605050515,,COMPLETE
4,0.8706124615962476,2026-01-04 15:25:13.565857,2026-01-04 15:31:37.829779,0 days 00:06:24.263922,Balanced,0.9214354190690682,10,80,1605,43.3774318247049,0.0034831692310756976,0.2990461138992595,0.8706124615962476,,PRUNED
5,0.8729334206547177,2026-01-04 15:31:37.831250,2026-01-04 15:32:39.997638,0 days 00:01:02.166388,None,0.5594715878720191,4,50,1904,0.20829257190366926,0.02094469016016961,2.5148341655630917,0.8812902697652916,0.8755959202935539,COMPLETE
6,0.8809917076788243,2026-01-04 15:32:39.998978,2026-01-04 15:33:37.243908,0 days 00:00:57.244930,Balanced,3.959820676458199,10,74,2477,92.96636809266307,0.033843711201495215,4.794008810764333,0.8809917076788243,,PRUNED
7,0.8651522666640985,2026-01-04 15:33:37.244946,2026-01-04 15:34:16.400371,0 days 00:00:39.155425,Balanced,0.6197135024348149,6,79,634,0.6406098809229878,0.00305288991400139,4.910023707609772,0.8651522666640985,,PRUNED
8,0.8804126416966032,2026-01-04 15:34:16.401406,2026-01-04 15:35:02.772056,0 days 00:00:46.370650,Balanced,2.6792583126580793,4,72,1073,39.7979570825794,0.014732992751498175,2.0837676890134658,0.8804126416966032,,PRUNED
9,0.8774005354855485,2026-01-04 15:35:02.774703,2026-01-04 15:35:28.703374,0 days 00:00:25.928671,None,3.7303170456835835,10,72,2064,6.667918152888748,0.032837288735053455,0.7491685799496361,0.8774005354855485,,PRUNED
