number,value,datetime_start,datetime_complete,duration,params_auto_class_weights,params_bagging_temperature,params_depth,params_early_stopping_rounds,params_iterations,params_l2_leaf_reg,params_learning_rate,params_random_strength,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.8575878109620442,2025-12-30 22:03:48.963747,2025-12-30 22:06:29.080506,0 days 00:02:40.116759,Balanced,1.3629630264132082,8,98,1594,13.849507661133075,0.0029813770307052724,3.8998790405940174,,,COMPLETE
1,0.8730383989367339,2025-12-30 22:06:29.082544,2025-12-30 22:06:47.603354,0 days 00:00:18.520810,None,1.8512537739519748,6,50,1752,5.4181589388967515,0.14783979348659035,3.563510134914501,0.8813047163178627,0.8765078589245987,COMPLETE
2,0.8664986853637162,2025-12-30 22:06:47.605571,2025-12-30 22:07:16.583779,0 days 00:00:28.978208,None,1.8441200300098726,10,70,1412,2.894574379361577,0.08210795783307676,0.37690620821488274,0.86919098101723,,COMPLETE
3,0.8803223507430344,2025-12-30 22:07:16.584788,2025-12-30 22:07:28.670405,0 days 00:00:12.085617,Balanced,4.010738210400795,6,85,1920,29.957775247880715,0.08990424563322696,2.180867119478397,0.8803223507430344,,PRUNED
4,0.8767143242384259,2025-12-30 22:07:28.671863,2025-12-30 22:10:00.921359,0 days 00:02:32.249496,Balanced,0.9214354190690682,10,80,1605,43.3774318247049,0.0034831692310756976,0.2990461138992595,0.8767143242384259,,PRUNED
5,0.8808677081025897,2025-12-30 22:10:00.922393,2025-12-30 22:10:26.900197,0 days 00:00:25.977804,None,0.5594715878720191,4,50,1904,0.20829257190366926,0.02094469016016961,2.5148341655630917,0.8808677081025897,,PRUNED
6,0.8796036347526268,2025-12-30 22:10:26.902402,2025-12-30 22:11:08.415641,0 days 00:00:41.513239,Balanced,3.959820676458199,10,74,2477,92.96636809266307,0.033843711201495215,4.794008810764333,0.8796036347526268,,PRUNED
7,0.8512287996841019,2025-12-30 22:11:08.417716,2025-12-30 22:12:01.173331,0 days 00:00:52.755615,Balanced,0.6197135024348149,6,79,634,0.6406098809229878,0.00305288991400139,4.910023707609772,0.8512287996841019,,PRUNED
8,0.8713712667700397,2025-12-30 22:12:01.174336,2025-12-30 22:13:47.072341,0 days 00:01:45.898005,Balanced,2.6792583126580793,4,72,1073,39.7979570825794,0.014732992751498175,2.0837676890134658,0.874694214637247,,COMPLETE
9,0.871835001107569,2025-12-30 22:13:47.075016,2025-12-30 22:14:45.120334,0 days 00:00:58.045318,None,3.7303170456835835,10,72,2064,6.667918152888748,0.032837288735053455,0.7491685799496361,0.871835001107569,,PRUNED
10,0.8608965530525565,2025-12-30 22:14:45.121334,2025-12-30 22:14:51.510979,0 days 00:00:06.389645,None,2.6771167974961907,8,50,2972,0.01361190166330694,0.2380409114062018,3.6889969692466242,0.8608965530525565,,PRUNED
11,0.8726590565438067,2025-12-30 22:14:51.512194,2025-12-30 22:16:22.555149,0 days 00:01:31.042955,None,2.6087232180060225,4,61,1060,2.070817554589592,0.00807141274460513,2.2736934386476304,0.8726590565438067,,PRUNED
12,0.865122771619266,2025-12-30 22:16:22.557190,2025-12-30 22:16:52.008037,0 days 00:00:29.450847,None,3.04926204192439,5,62,1130,6.667394792302991,0.008514933111580702,3.150363208733766,0.865122771619266,,PRUNED
13,0.8726244450116054,2025-12-30 22:16:52.009038,2025-12-30 22:17:05.555112,0 days 00:00:13.546074,Balanced,1.9532105053186448,6,61,598,0.4154470606881147,0.16960627060149835,1.1803569531060278,0.8726244450116054,,PRUNED
14,0.8507288887711763,2025-12-30 22:17:05.556113,2025-12-30 22:17:46.502421,0 days 00:00:40.946308,Balanced,4.791663224496685,5,91,1104,0.07508837064033329,0.0010799111722047323,1.5385164604956754,0.8507288887711763,,PRUNED
15,0.8802332636688466,2025-12-30 22:17:46.504426,2025-12-30 22:18:06.958879,0 days 00:00:20.454453,None,1.7948819706826793,7,66,2305,18.165466521709906,0.057586698406618356,3.2365027187252773,0.8802332636688466,,PRUNED
16,0.8696574240833664,2025-12-30 22:18:06.959917,2025-12-30 22:20:08.220918,0 days 00:02:01.261001,None,3.0501560775061667,5,56,1325,2.3692380554953054,0.010691222224053071,4.177277277651047,0.8750565823309032,,COMPLETE
17,0.8707977386329709,2025-12-30 22:20:08.222273,2025-12-30 22:22:11.923815,0 days 00:02:03.701542,Balanced,0.09285107172011697,4,86,2647,92.5387631373811,0.01747931365694796,2.8791711251267054,0.8745617879053462,,COMPLETE
18,0.8801899240111335,2025-12-30 22:22:11.926174,2025-12-30 22:22:21.975444,0 days 00:00:10.049270,None,2.2435496731829967,7,55,838,9.675933954147945,0.1054196703911609,1.7809819240653393,0.8801899240111335,,PRUNED
19,0.8735264516377576,2025-12-30 22:22:21.976649,2025-12-30 22:23:20.819860,0 days 00:00:58.843211,Balanced,1.3736896426674936,8,99,2178,3.8248932128019786,0.03973667338977085,4.3709765216398395,0.8735264516377576,,PRUNED
20,0.8722147046643105,2025-12-30 22:23:20.822145,2025-12-30 22:23:36.004872,0 days 00:00:15.182727,None,3.1982873272807737,5,68,1676,25.27345792600901,0.2858102884871067,3.530775374127285,0.8757208227793243,,COMPLETE
21,0.8785646868468955,2025-12-30 22:23:36.007287,2025-12-30 22:23:43.345156,0 days 00:00:07.337869,None,3.254325134881486,5,69,1730,37.09374988821886,0.275025904418779,3.4833713903610715,0.8785646868468955,,PRUNED
