number,value,datetime_start,datetime_complete,duration,params_base_max_depth,params_base_max_features,params_base_min_samples_leaf,params_base_min_samples_split,params_learning_rate,params_minibatch_frac,params_n_estimators,state
0,0.8366427174928489,2026-03-01 15:22:51.958229,2026-03-01 15:23:59.567622,0 days 00:01:07.609393,9,0.7834974255792079,50,30,0.03330849868291622,0.7733858528084853,850,COMPLETE
1,0.8493590546175998,2026-03-01 15:23:59.569596,2026-03-01 15:25:03.938446,0 days 00:01:04.368850,9,0.40530310711146844,7,49,0.003697006358220936,0.9147595994001568,864,COMPLETE
2,0.8433945546127843,2026-03-01 15:25:03.940628,2026-03-01 15:25:31.502532,0 days 00:00:27.561904,7,0.8066428147926902,26,44,0.029536013038098198,0.6058630935363751,450,COMPLETE
3,0.8463902880642582,2026-03-01 15:25:31.503623,2026-03-01 15:26:46.047019,0 days 00:01:14.543396,10,0.44357125701729694,11,9,0.002904123239943741,0.5373930819090842,1346,COMPLETE
4,0.8536487176276835,2026-03-01 15:26:46.048315,2026-03-01 15:28:37.388796,0 days 00:01:51.340481,5,0.8859029632512729,6,13,0.0015218008196141233,0.9791413896775509,1334,COMPLETE
5,0.8301049301268407,2026-03-01 15:28:37.389816,2026-03-01 15:29:04.803029,0 days 00:00:27.413213,10,0.8679608461875513,29,18,0.025866165991049586,0.924506548511116,1388,PRUNED
6,0.8537869229806127,2026-03-01 15:29:04.803998,2026-03-01 15:29:41.938529,0 days 00:00:37.134531,4,0.70431979600255,10,26,0.025201000563300484,0.8034236057633217,536,COMPLETE
7,0.8485194691373483,2026-03-01 15:29:41.939922,2026-03-01 15:30:03.246536,0 days 00:00:21.306614,8,0.9010492390877902,5,36,0.0037749050939106985,0.917998004603938,930,PRUNED
8,0.852590266875981,2026-03-01 15:30:03.248618,2026-03-01 15:30:45.846617,0 days 00:00:42.597999,5,0.736391182610352,8,12,0.009272681700272312,0.5470071189086251,849,COMPLETE
9,0.8353827373327811,2026-03-01 15:30:45.846617,2026-03-01 15:31:01.691093,0 days 00:00:15.844476,9,0.662852219081156,43,12,0.041739501659567496,0.9311143581424699,954,PRUNED
10,0.8552136404349375,2026-03-01 15:31:01.692095,2026-03-01 15:31:08.734948,0 days 00:00:07.042853,4,0.6102844800517483,18,24,0.09143436395579319,0.7711825575106366,306,PRUNED
11,0.8511492232570234,2026-03-01 15:31:08.735986,2026-03-01 15:32:01.119193,0 days 00:00:52.383207,5,0.9858375145921794,17,3,0.0011878777389741826,0.9925801763279727,590,COMPLETE
12,0.8521525363330797,2026-03-01 15:32:01.120228,2026-03-01 15:33:01.065812,0 days 00:00:59.945584,4,0.591025743884332,1,24,0.012842886031687822,0.6927957948903114,1163,COMPLETE
13,0.8536482360759312,2026-03-01 15:33:01.067221,2026-03-01 15:33:45.161561,0 days 00:00:44.094340,6,0.5309040286046381,19,34,0.0013566152189803504,0.858636669743208,632,COMPLETE
14,0.8597709258313991,2026-03-01 15:33:45.163001,2026-03-01 15:34:00.507780,0 days 00:00:15.344779,5,0.9957710700760993,33,19,0.009106122769272513,0.7121091216657145,1160,PRUNED
15,0.8536672573701495,2026-03-01 15:34:00.508842,2026-03-01 15:34:10.094931,0 days 00:00:09.586089,6,0.8854698903787355,13,2,0.016556672728661133,0.8172828443773086,625,PRUNED
16,0.853145255270584,2026-03-01 15:34:10.096165,2026-03-01 15:36:04.805264,0 days 00:01:54.709099,4,0.7055423617541172,22,17,0.06246955034149441,0.9965237567377874,1204,COMPLETE
17,0.8530532788858819,2026-03-01 15:36:04.807366,2026-03-01 15:36:22.702031,0 days 00:00:17.894665,6,0.8058679007392164,1,29,0.005919518374029906,0.6477691272791641,1466,PRUNED
18,0.8587620749101906,2026-03-01 15:36:22.703067,2026-03-01 15:36:40.796635,0 days 00:00:18.093568,7,0.9367830873512206,14,39,0.0019680196014829746,0.8457863473851713,1051,PRUNED
19,0.8522016546118213,2026-03-01 15:36:40.796635,2026-03-01 15:37:08.825197,0 days 00:00:28.028562,5,0.5356259121717033,31,9,0.019441178882035,0.8095677742341315,465,COMPLETE
20,0.851731419325635,2026-03-01 15:37:08.826657,2026-03-01 15:37:19.145398,0 days 00:00:10.318741,4,0.756557417508504,37,21,0.05766032352117813,0.872144332913017,775,PRUNED
21,0.853499677360326,2026-03-01 15:37:19.146474,2026-03-01 15:38:07.816823,0 days 00:00:48.670349,6,0.5165111236440464,19,33,0.001113261911412481,0.883296716529379,693,COMPLETE
22,0.8542065953328004,2026-03-01 15:38:07.816823,2026-03-01 15:38:45.951954,0 days 00:00:38.135131,6,0.6272807904834103,9,40,0.001836057173061739,0.9620024319130982,486,COMPLETE
23,0.8518534926948599,2026-03-01 15:38:45.954131,2026-03-01 15:39:09.123190,0 days 00:00:23.169059,5,0.6548284165496361,5,40,0.002066956641718313,0.9575485108943579,307,COMPLETE
24,0.8566613053904903,2026-03-01 15:39:09.124262,2026-03-01 15:39:16.998882,0 days 00:00:07.874620,7,0.5986160354748908,10,50,0.0018148911114568428,0.9682496645853519,478,PRUNED
25,0.861555075073918,2026-03-01 15:39:17.000325,2026-03-01 15:39:23.984810,0 days 00:00:06.984485,6,0.6774623593838542,14,27,0.005993142748507194,0.7375927615635004,536,PRUNED
26,0.8557564696477931,2026-03-01 15:39:23.986607,2026-03-01 15:40:11.586297,0 days 00:00:47.599690,4,0.8506109862913035,3,44,0.005518425910405009,0.8155621811229391,733,COMPLETE
27,0.8562153884677987,2026-03-01 15:40:11.587302,2026-03-01 15:40:57.561478,0 days 00:00:45.974176,4,0.827918773402779,1,45,0.004696154197237542,0.8058056717239932,712,COMPLETE
28,0.8564431624466682,2026-03-01 15:40:57.562513,2026-03-01 15:41:37.193242,0 days 00:00:39.630729,4,0.8334358169347106,3,45,0.006024880757979372,0.6474792331691611,728,COMPLETE
29,0.8565096165884947,2026-03-01 15:41:37.195315,2026-03-01 15:42:19.705042,0 days 00:00:42.509727,4,0.8500322672569769,1,45,0.006102112669558743,0.6587229247649742,768,COMPLETE
30,0.857928990378596,2026-03-01 15:42:19.706046,2026-03-01 15:42:30.165031,0 days 00:00:10.458985,8,0.8317009178166334,48,47,0.007669999622958137,0.644589217443796,795,PRUNED
31,0.8565452514181701,2026-03-01 15:42:30.166435,2026-03-01 15:43:05.356472,0 days 00:00:35.190037,4,0.8475543588791085,2,44,0.005472073559306251,0.5850106855658561,719,COMPLETE
32,0.8565457329699223,2026-03-01 15:43:05.357500,2026-03-01 15:43:38.208299,0 days 00:00:32.850799,4,0.7739123298569859,1,44,0.004085012566685816,0.5790935526184061,686,COMPLETE
33,0.8566762334948137,2026-03-01 15:43:38.209351,2026-03-01 15:44:21.508040,0 days 00:00:43.298689,4,0.7680648355900697,4,42,0.003923229412381754,0.5003850214605078,1014,COMPLETE
34,0.8561075208752685,2026-03-01 15:44:21.509082,2026-03-01 15:45:08.780060,0 days 00:00:47.270978,5,0.7570779877430255,5,41,0.002759552442306074,0.5128578257897214,1019,COMPLETE
35,0.8566805674605849,2026-03-01 15:45:08.781367,2026-03-01 15:45:51.880638,0 days 00:00:43.099271,4,0.7921925029067366,7,48,0.002929231459271637,0.579523421011349,883,COMPLETE
36,0.8559924300064529,2026-03-01 15:45:51.882054,2026-03-01 15:46:37.568226,0 days 00:00:45.686172,5,0.7768145490962368,7,48,0.003566367064922768,0.5827315184130234,887,COMPLETE
37,0.8563357764058903,2026-03-01 15:46:37.569228,2026-03-01 15:47:27.891662,0 days 00:00:50.322434,4,0.7929455690247144,24,36,0.002849933350495009,0.5956363212965486,1021,COMPLETE
38,0.8651835675280023,2026-03-01 15:47:27.892666,2026-03-01 15:47:40.948112,0 days 00:00:13.055446,5,0.9142044451390312,11,42,0.004028543125566908,0.5587300492879751,1098,PRUNED
39,0.8568640386782367,2026-03-01 15:47:40.950477,2026-03-01 15:48:24.507998,0 days 00:00:43.557521,4,0.9424402959181291,4,50,0.0026670435229969843,0.5063685832517375,837,COMPLETE
40,0.8584249886835338,2026-03-01 15:48:24.509198,2026-03-01 15:48:35.184876,0 days 00:00:10.675678,8,0.957140747520279,6,50,0.0024002753839654986,0.5320145267702909,835,PRUNED
41,0.8563665957180419,2026-03-01 15:48:35.184876,2026-03-01 15:49:16.611358,0 days 00:00:41.426482,4,0.7135077598912697,4,47,0.003272588558083414,0.5106120938864187,917,COMPLETE
42,0.8570003178241568,2026-03-01 15:49:16.612374,2026-03-01 15:50:04.351967,0 days 00:00:47.739593,4,0.7357053968570771,8,43,0.004685769999541936,0.569194916852308,949,COMPLETE
