number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
17,0.8681968776184377,2026-03-01 13:53:03.453407,2026-03-01 13:53:04.101752,0 days 00:00:00.648345,0.6025220716944765,75,0.8132989054548125,0.03961267718824917,9,0.18188829600736625,1856,0.004743884999851372,5.734734366887106,2.092441781799567,0.959596794051917,0.8681968776184377,,PRUNED
18,0.8616071428571429,2026-03-01 13:53:04.107736,2026-03-01 13:53:05.194388,0 days 00:00:01.086652,0.7101544660876488,66,3.426262565329454,0.13773338673732474,7,7.674127487311122,2605,0.04381221123499453,0.6180173008002017,0.9081779854413742,0.8591387195398086,0.8697023287842744,0.8616071428571429,PRUNED
19,0.8607544952856084,2026-03-01 13:53:05.195862,2026-03-01 13:53:09.621473,0 days 00:00:04.425611,0.890624901880698,57,1.842013760690068,0.009039823931440222,8,0.4852590320355016,959,3.077375917003158,27.18190335881224,1.3607974070726259,0.8182473127505019,0.870276579248972,0.8607544952856084,PRUNED
20,0.8604850670801591,2026-03-01 13:53:09.623829,2026-03-01 13:53:12.451625,0 days 00:00:02.827796,0.7884603760553162,89,2.6010776890579765,0.02560644274732776,5,2.1074220865547186,564,0.41976463551688975,1.5842607307950989,0.6794447451910037,0.6824600578407095,0.8717501276112144,0.8625825861255308,COMPLETE
21,0.8603853858674192,2026-03-01 13:53:12.455236,2026-03-01 13:53:15.087504,0 days 00:00:02.632268,0.8001789082087889,89,2.7128163736098934,0.02817366669826677,5,2.204618806051647,570,0.47266307485101233,1.375150789153363,0.6770347446780879,0.6855388162569912,0.8715364390211016,0.8627050808525392,COMPLETE
22,0.8603986285406092,2026-03-01 13:53:15.089509,2026-03-01 13:53:17.042329,0 days 00:00:01.952820,0.7762775579097244,100,3.7450124505991713,0.06264579906371358,5,2.1113997018710453,1090,0.5299238654205551,0.22279684427550922,0.7197314930521818,0.6741144569982664,0.8714160510830099,0.8626003433463995,COMPLETE
23,0.8623120142346697,2026-03-01 13:53:17.044323,2026-03-01 13:53:18.292854,0 days 00:00:01.248531,0.7841197719830512,100,3.955987702717052,0.06061469148070758,5,2.4445219840314665,1078,0.3966444250514515,0.17982637372902077,0.7067678045440821,0.6689915670845855,0.8711511976192081,0.8623120142346697,PRUNED
24,0.8601788001656537,2026-03-01 13:53:18.296438,2026-03-01 13:53:21.183983,0 days 00:00:02.887545,0.8553910598709134,94,3.8859227928836586,0.02475099699289275,5,4.092149802382258,713,0.4443056475070884,0.6752294330652017,0.7075169865417589,0.6880443602816902,0.8622659658483497,,COMPLETE
25,0.8599529523937937,2026-03-01 13:53:21.186473,2026-03-01 13:53:22.863872,0 days 00:00:01.677399,0.7884999540601509,89,3.5069804480972415,0.053843314751373494,4,1.5231417000891583,505,0.06680063616645797,0.2940553682656237,1.1021175179517275,0.6613515889278375,0.862588003582745,,COMPLETE
26,0.8588042106885228,2026-03-01 13:53:22.869362,2026-03-01 13:53:27.814659,0 days 00:00:04.945297,0.7366116455614751,97,2.833589484268869,0.010357682438416926,5,9.491003499130228,1011,2.807377258136241,4.263231801782666,0.6811422061014651,0.7164878190426548,0.8588042106885228,,PRUNED
27,0.8618768118384683,2026-03-01 13:53:27.816041,2026-03-01 13:53:30.545564,0 days 00:00:02.729523,0.9148370560326133,87,4.363928242619169,0.01584501327155283,6,1.5478883740248264,1150,0.5119087147014232,0.05059477128724087,0.9058786185316706,0.7528554167749038,0.8618768118384683,,PRUNED
