number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
10,0.8666471838853522,2026-01-01 18:02:29.710708,2026-01-01 18:02:30.616170,0 days 00:00:00.905462,0.8769557055932382,62,0.1674773620658514,0.1898941748788961,5,9.808959497069432,513,0.0019631790685311124,0.20772662317289253,0.9412426318164944,0.7294923982520973,0.8666471838853522,,PRUNED
11,0.8730364727297242,2026-01-01 18:02:30.618165,2026-01-01 18:02:31.344070,0 days 00:00:00.725905,0.7805786504307326,100,3.5963689058974397,0.05891731932879914,10,0.016967770482934998,2065,0.01397001775294324,15.296153256519021,0.5448674249322575,0.9981028224300197,0.8730364727297242,,PRUNED
12,0.8677436170315225,2026-01-01 18:02:31.347063,2026-01-01 18:02:48.841323,0 days 00:00:17.494260,0.7985943988118686,97,0.09838880967234642,0.007489136366136199,6,0.045438499931424896,1660,0.011059573042140761,97.47350931916625,0.9074324891379995,0.712063172817315,0.8677436170315225,,PRUNED
13,0.8667314554420164,2026-01-01 18:02:48.843318,2026-01-01 18:02:50.591900,0 days 00:00:01.748582,0.8736647595247554,80,3.6780008128409496,0.08314409246901185,7,0.03006274791469103,2443,0.0013689348274834024,6.928598373352301,2.880841073279269,0.7062221411651031,0.8667314554420164,,PRUNED
14,0.865398760967341,2026-01-01 18:02:50.593895,2026-01-01 18:02:59.415354,0 days 00:00:08.821459,0.7452884745979546,90,1.4208244654683315,0.006882674813887202,9,0.09906577976809794,1265,0.03562659225593331,1.4863951496245247,0.9064978329520693,0.600010293183842,0.865398760967341,,PRUNED
15,0.8648612288237616,2026-01-01 18:02:59.418347,2026-01-01 18:03:01.070878,0 days 00:00:01.652531,0.8619643788323533,77,4.947264010892254,0.07474718722898904,6,0.02741105845930877,1897,0.0047061352110544545,31.529149228341986,0.5005445768602781,0.8549651918807719,0.8648612288237616,,PRUNED
16,0.866388410012424,2026-01-01 18:03:01.073870,2026-01-01 18:03:03.636844,0 days 00:00:02.562974,0.7380235682925365,62,2.997625850130505,0.03565613532773706,9,0.010250102589649434,2568,0.04483799991404133,4.292175556799068,0.7437148818341125,0.7640071187510291,0.8694741936415906,,COMPLETE
17,0.8631463026456453,2026-01-01 18:03:03.638839,2026-01-01 18:03:04.385811,0 days 00:00:00.746972,0.6025220716944765,60,3.002468025340111,0.28888867779129174,7,0.010001093440937947,2650,0.0390594351419483,2.756931694086826,1.1776481628422233,0.7650651444162627,0.8631463026456453,,PRUNED
18,0.86427463859541,2026-01-01 18:03:04.387807,2026-01-01 18:03:07.770931,0 days 00:00:03.383124,0.7337179349762575,64,2.0307127162899636,0.02517005852284563,5,0.1495784126982457,1330,0.00935985515418082,0.8947041814192762,2.505207185185132,0.9675313393716963,0.8746580982558196,0.867677403665572,COMPLETE
19,0.8611812705261435,2026-01-01 18:03:07.772926,2026-01-01 18:03:15.995352,0 days 00:00:08.222426,0.7531401235045595,72,3.0461953030062214,0.008244506688895651,8,1.041196828376624,959,0.058841080698054854,0.11256427194439829,3.662731898051658,0.8437342887053078,0.8611812705261435,,PRUNED
20,0.8616236961986306,2026-01-01 18:03:15.997648,2026-01-01 18:03:17.407752,0 days 00:00:01.410104,0.9124381722113547,59,4.112117020733543,0.0038707783149211235,10,2.1074220865547186,589,0.4243923796832785,6.427012131405988,0.7328267952126752,0.6705626139777795,0.8616236961986306,,PRUNED
21,0.867673491057584,2026-01-01 18:03:17.409798,2026-01-01 18:03:19.280764,0 days 00:00:01.870966,0.8427134764456836,85,3.2948882096353733,0.045172915417174504,9,0.027969110882280938,2590,0.08484825837803632,18.398745090815666,0.6770347446780879,0.7610048244309159,0.8748061754196723,0.867673491057584,PRUNED
22,0.8659037281736669,2026-01-01 18:03:19.283742,2026-01-01 18:03:22.743370,0 days 00:00:03.459628,0.8141944973549945,95,2.532763056719297,0.03516950361683136,9,0.01763648074795437,2113,0.01999200245950918,6.344118788748942,0.7726224707317205,0.6680995133463601,0.8771224393485568,0.869194893625218,COMPLETE
23,0.8601507497760784,2026-01-01 18:03:22.745365,2026-01-01 18:03:24.719086,0 days 00:00:01.973721,0.7770713103400096,77,2.4795907221654065,0.09934281601102123,7,0.01727268901964311,1949,0.019153292678738266,5.289764124319036,9.978603601587047,0.6740512698762552,0.8601507497760784,,PRUNED
24,0.8710536833893538,2026-01-01 18:03:24.721081,2026-01-01 18:03:26.136568,0 days 00:00:01.415487,0.7182055268609895,56,1.870441757646042,0.030791689326442946,9,0.05140123007805949,1494,0.0032410597127861354,0.6752294330652017,1.1067611773636161,0.7500355451547007,0.8710536833893538,,PRUNED
25,0.8665415434696767,2026-01-01 18:03:26.138564,2026-01-01 18:03:29.948983,0 days 00:00:03.810419,0.8141540124003164,94,0.8978593571296132,0.01640276288571232,8,0.016289375383367874,2078,0.0063879302156724105,2.0473335416407443,0.7569276030681055,0.7967202163747985,0.8665415434696767,,PRUNED
26,0.8725428821835483,2026-01-01 18:03:29.951975,2026-01-01 18:03:35.064827,0 days 00:00:05.112852,0.8949801219331096,87,2.6214942664686043,0.01118233810642136,10,0.15224110263958798,1805,0.02500344446477791,0.01187215075539505,1.2806385327474654,0.6737012206515703,0.8725428821835483,,PRUNED
27,0.8651720102859454,2026-01-01 18:03:35.067819,2026-01-01 18:03:36.546836,0 days 00:00:01.479017,0.6351114410660916,66,1.8458468925475517,0.10977719301561144,7,0.04292952011246353,2499,0.07563636665029315,46.43516675328205,0.5921871929619116,0.8246367661104218,0.867411045352544,,COMPLETE
28,0.8635843341583922,2026-01-01 18:03:36.549335,2026-01-01 18:03:40.793054,0 days 00:00:04.243719,0.768372031716504,73,3.369050153339828,0.029234811313151702,9,0.014789185856241375,1061,0.017702796081457646,9.324052590313306,1.85225361671484,0.8817940271879844,0.8674303074226388,,COMPLETE
29,0.8636714950255704,2026-01-01 18:03:40.796048,2026-01-01 18:03:43.317563,0 days 00:00:02.521515,0.724984454698672,68,1.0139347803299223,0.05483510247157381,8,0.07236169938087816,2802,0.0033049709141759268,3.1493417355233957,0.9257251322129681,0.9457918033227437,0.8636714950255704,,PRUNED
30,0.8645298610241643,2026-01-01 18:03:43.320555,2026-01-01 18:03:45.699091,0 days 00:00:02.378536,0.83754621908397,69,2.744349301087881,0.00510088621712954,6,0.021477251934256786,2077,0.007982382417601297,0.43153806360153024,0.6420180573568605,0.7116928170571196,0.8645298610241643,,PRUNED
31,0.8654818888385934,2026-01-01 18:03:45.701561,2026-01-01 18:03:47.008669,0 days 00:00:01.307108,0.6177054969255792,64,1.73777487085194,0.12566721030365932,7,0.045646354085695486,2504,0.06488408932052471,35.709710617177876,0.5003369651637839,0.8257920684700875,0.8680343539020138,,COMPLETE
32,0.8673990065587348,2026-01-01 18:03:47.011662,2026-01-01 18:03:47.918810,0 days 00:00:00.907148,0.6066823271419816,64,2.351274168833676,0.17264465661168066,7,0.01088683493198147,2398,0.04206834671560434,1.219358238526515,0.5030031237014806,0.8799013484320644,0.8747526027872214,0.8673990065587348,PRUNED
