number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_early_stopping_rounds,params_learning_rate,params_max_depth,params_min_child_samples,params_min_child_weight,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.8441009910335063,2026-02-24 22:01:09.648883,2026-02-24 22:01:23.752545,0 days 00:00:14.103662,0.9207488710140077,75,0.0029813770307052724,7,158,0.012313185468743897,2464,165,3.189558257433924,68.00759466734245,1.4604981309148681,0.7105857020572387,,,COMPLETE
1,0.8663814275120147,2026-02-24 22:01:23.756876,2026-02-24 22:01:26.179769,0 days 00:00:02.422893,0.9530564762544467,68,0.04931971559288606,6,106,0.0011352037010541887,1903,187,0.28945743793615764,0.288100449320714,0.6266762858712516,0.9091306486449496,0.877076691932082,0.869179243193266,COMPLETE
2,0.8633199622463426,2026-02-24 22:01:26.182076,2026-02-24 22:01:27.839962,0 days 00:00:01.657886,0.7744693695582717,85,0.20488076178531783,6,70,0.18723826599997598,2472,172,0.003758956483794702,16.16555309446666,4.123202386128542,0.9476509558244903,0.8672975797208925,,COMPLETE
3,0.8626773916267783,2026-02-24 22:01:27.842209,2026-02-24 22:01:35.078415,0 days 00:00:07.236206,0.8699523774329321,78,0.0034831692310756976,7,21,0.005459442990081154,2774,238,0.1359066326112449,2.3905570899706423,0.5692930860651022,0.6189421115206061,0.8626773916267783,,PRUNED
4,0.8653740212460633,2026-02-24 22:01:35.081618,2026-02-24 22:01:44.687402,0 days 00:00:09.605784,0.9648491545732617,90,0.006555845553592281,4,118,0.0010642808503928906,2018,137,9.296636809266305,14.524344196393692,8.838933302775391,0.8469766835217188,0.8682251687838891,,COMPLETE
5,0.8631113901435987,2026-02-24 22:01:44.689560,2026-02-24 22:01:51.302580,0 days 00:00:06.613020,0.9928018966087818,79,0.0050886340074975545,7,83,0.0016424597689546315,989,166,0.0030027805331995197,0.03131632575245507,4.568889481390273,0.7806593633043436,0.8631113901435987,,PRUNED
6,0.8666253334745886,2026-02-24 22:01:51.305573,2026-02-24 22:01:56.328204,0 days 00:00:05.022631,0.7202566823081205,81,0.014732992751498175,5,89,0.13912547180286208,2750,41,0.28092862158076665,0.559207115308422,7.826601870595609,0.6024834066348518,0.8698732796563646,,COMPLETE
7,0.8765108686230509,2026-02-24 22:01:56.329652,2026-02-24 22:01:57.348551,0 days 00:00:01.018899,0.827363846098876,75,0.05608433493489958,9,131,0.05665516705915337,2578,52,6.393152366775282,1.2968719897940162,2.108296580037806,0.6610291098698021,0.8765108686230509,,PRUNED
8,0.8685174105036068,2026-02-24 22:01:57.349547,2026-02-24 22:02:04.276151,0 days 00:00:06.926604,0.8231043313709798,80,0.021375308080191696,4,156,0.6799256856837608,2174,213,0.003878176760471735,73.0039111673775,0.5464389413942462,0.9187468734900787,0.8771549440918416,0.8685174105036068,PRUNED
9,0.8629293033872352,2026-02-24 22:02:04.278612,2026-02-24 22:02:15.292044,0 days 00:00:11.013432,0.7010463020186121,86,0.0019167018709944073,6,97,4.804080591664696,984,245,0.005374708639511808,0.24662390583051552,7.451328619624178,0.9516276646058703,0.8629293033872352,,PRUNED
10,0.8763411216303416,2026-02-24 22:02:15.294486,2026-02-24 22:02:17.145446,0 days 00:00:01.850960,0.608264783171695,54,0.01222996098987087,10,191,1.9433851570918665,1421,17,0.5946626401793735,0.01809547470845353,3.8051553826233735,0.7384579796700528,0.8763411216303416,,PRUNED
11,0.868169669944429,2026-02-24 22:02:17.147629,2026-02-24 22:02:19.426923,0 days 00:00:02.279294,0.7272291139655754,65,0.04766563091498283,5,48,0.06738210390231189,3000,76,0.06839009389885836,0.20605115841440283,1.1629326858136917,0.8640015897054418,0.8787302202617715,0.8711517995588987,COMPLETE
12,0.8680174995906811,2026-02-24 22:02:19.430350,2026-02-24 22:02:21.602919,0 days 00:00:02.172569,0.7130605514288169,63,0.04829805806402128,5,40,0.07212704006713118,2991,82,0.02347407711171788,0.14831739342404263,1.1190906277479773,0.8469186376880553,0.8785032889984687,0.8712213235931466,COMPLETE
13,0.8679353950169025,2026-02-24 22:02:21.604183,2026-02-24 22:02:22.829992,0 days 00:00:01.225809,0.6723919711381509,60,0.11882349708981804,5,34,0.03234434748829695,2959,89,0.025154347510507685,0.1088255738577295,1.1087829206963677,0.851052396451395,0.8707175000722328,,COMPLETE
14,0.8677851508701642,2026-02-24 22:02:22.832015,2026-02-24 22:02:25.147363,0 days 00:00:02.315348,0.7573585204452051,65,0.04020955721071957,5,48,0.3821842879559124,500,91,0.028570011788922076,0.06418737976032639,1.0098238742179877,0.8567792404538018,0.8706840924194124,,COMPLETE
