number,value,datetime_start,datetime_complete,duration,params_auto_class_weights,params_bagging_temperature,params_depth,params_early_stopping_rounds,params_iterations,params_l2_leaf_reg,params_learning_rate,params_random_strength,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.8602926871550887,2026-02-25 21:44:34.913695,2026-02-25 21:45:44.646158,0 days 00:01:09.732463,Balanced,1.3629630264132082,8,98,1594,13.849507661133075,0.0029813770307052724,3.8998790405940174,,,COMPLETE
1,0.866787616415136,2026-02-25 21:45:44.648335,2026-02-25 21:45:49.302856,0 days 00:00:04.654521,None,1.8512537739519748,6,50,1752,5.4181589388967515,0.14783979348659035,3.563510134914501,0.878758511427223,0.8700364053124788,COMPLETE
2,0.8759113366913542,2026-02-25 21:45:49.305427,2026-02-25 21:46:06.879037,0 days 00:00:17.573610,None,1.8441200300098726,10,70,1412,2.894574379361577,0.08210795783307676,0.37690620821488274,0.8759113366913542,,PRUNED
3,0.8697811828837245,2026-02-25 21:46:06.881044,2026-02-25 21:46:15.921029,0 days 00:00:09.039985,Balanced,4.010738210400795,6,85,1920,29.957775247880715,0.08990424563322696,2.180867119478397,0.8807160193005943,0.8732495593801466,COMPLETE
4,0.873440374262022,2026-02-25 21:46:15.922524,2026-02-25 21:48:26.997910,0 days 00:02:11.075386,Balanced,0.9214354190690682,10,80,1605,43.3774318247049,0.0034831692310756976,0.2990461138992595,0.873440374262022,,PRUNED
5,0.8717435062746194,2026-02-25 21:48:26.999237,2026-02-25 21:48:40.794387,0 days 00:00:13.795150,None,0.5594715878720191,4,50,1904,0.20829257190366926,0.02094469016016961,2.5148341655630917,0.8744305650528262,,COMPLETE
6,0.8704541514576573,2026-02-25 21:48:40.795806,2026-02-25 21:51:41.442703,0 days 00:03:00.646897,Balanced,3.959820676458199,10,74,2477,92.96636809266307,0.033843711201495215,4.794008810764333,0.8704541514576573,,PRUNED
7,0.8523369706542363,2026-02-25 21:51:41.444784,2026-02-25 21:51:55.407150,0 days 00:00:13.962366,Balanced,0.6197135024348149,6,79,634,0.6406098809229878,0.00305288991400139,4.910023707609772,0.8523369706542363,,PRUNED
8,0.8712913291791468,2026-02-25 21:51:55.408184,2026-02-25 21:52:19.374977,0 days 00:00:23.966793,Balanced,2.6792583126580793,4,72,1073,39.7979570825794,0.014732992751498175,2.0837676890134658,0.8808448343943522,0.8741639057699531,COMPLETE
9,0.8773054290144563,2026-02-25 21:52:19.376019,2026-02-25 21:52:49.884511,0 days 00:00:30.508492,None,3.7303170456835835,10,72,2064,6.667918152888748,0.032837288735053455,0.7491685799496361,0.8773054290144563,,PRUNED
