number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.8513664030973409,2026-01-04 21:11:00.046058,2026-01-04 21:11:05.739165,0 days 00:00:05.693107,0.983255741473482,68,1.3629630264132082,0.0029813770307052724,8,0.06751383304677265,1594,1.3179630432958698,13.849507661133075,6.895799670211798,0.9207488710140077,,,COMPLETE
1,0.8559144186225695,2026-01-04 21:11:05.743155,2026-01-04 21:11:09.110319,0 days 00:00:03.367164,0.9530564762544467,81,2.5154158265390487,0.017419098458624965,8,0.010997788128340768,2282,0.1757052524413466,0.3026934470902619,1.4917553854671595,0.9091306486449496,0.8662201076749718,0.8589348316013522,COMPLETE
2,0.8529468559486089,2026-01-04 21:11:09.113311,2026-01-04 21:11:19.082356,0 days 00:00:09.969045,0.9476509558244903,90,3.9436507147037276,0.0015371932752143134,6,0.08922948091189509,2833,0.03879808685234139,4.031926187760739,1.846905659595764,0.8272394610504277,0.8565469368493033,,COMPLETE
3,0.8534355105893232,2026-01-04 21:11:19.084351,2026-01-04 21:11:20.075789,0 days 00:00:00.991438,0.6737148335255254,84,2.2107037770208833,0.0022705332007363346,8,5.345002059908353,2262,5.005765657505184,0.07501850803958504,0.5762098028590981,0.6239236891119407,0.8534355105893232,,PRUNED
4,0.8598956477352623,2026-01-04 21:11:20.078781,2026-01-04 21:11:22.710421,0 days 00:00:02.631640,0.8263778572202125,81,2.5148341655630917,0.029713764772167167,7,0.021661221968940082,608,0.020829257190366924,1.7608903775850084,0.5102350067975332,0.8428774824873938,0.8618403944871956,,COMPLETE
5,0.8600097755005731,2026-01-04 21:11:22.713414,2026-01-04 21:11:24.263692,0 days 00:00:01.550278,0.6782700714663593,52,1.4262548001225488,0.18173517306843048,9,0.7494628597868337,2981,1.4718262393979016,68.4237777873914,1.5717246965261429,0.7912375182682698,0.8711144792980902,0.8623953828817983,COMPLETE
6,0.8633861756122931,2026-01-04 21:11:24.266684,2026-01-04 21:11:25.360525,0 days 00:00:01.093841,0.6916874261842472,71,2.936518167319923,0.013145825762799096,10,0.25995465752832836,809,0.8996886145567825,0.030027805331995203,7.4105717730613305,0.6428507268775465,0.8633861756122931,,PRUNED
7,0.8596587242730976,2026-01-04 21:11:25.363518,2026-01-04 21:11:29.008849,0 days 00:00:03.645331,0.6599334863959708,92,4.590990376902865,0.021250519067186308,4,0.753719948691389,1251,0.28092862158076665,0.559207115308422,4.673270053885615,0.8823990260327093,0.8621603254326742,,COMPLETE
8,0.8676075786614788,2026-01-04 21:11:29.010844,2026-01-04 21:11:29.640887,0 days 00:00:00.630043,0.8147512771697639,52,4.757143818767966,0.037137748595242236,7,0.2761070752133479,881,0.1296871989794016,1.877752984795976,5.818036829413822,0.8010238253530202,0.8676075786614788,,PRUNED
9,0.8578402042742533,2026-01-04 21:11:29.643879,2026-01-04 21:11:31.830129,0 days 00:00:02.186250,0.8375573970499087,98,4.8291826599606384,0.045523833695795185,9,0.02763571464435221,2270,0.17023282790905817,15.398156698901445,0.7036762607140001,0.6118588002141662,0.8578402042742533,,PRUNED
10,0.8600399928730341,2026-01-04 21:11:31.833122,2026-01-04 21:11:32.802624,0 days 00:00:00.969502,0.6118666196418625,50,0.1674773620658514,0.23881313811017776,10,2.3136774541722898,2993,0.0023137476690698617,86.33548946565622,3.1366067592440827,0.7294923982520973,0.8600399928730341,,PRUNED
11,0.8616580067609867,2026-01-04 21:11:32.805616,2026-01-04 21:11:33.633765,0 days 00:00:00.828149,0.7417538444235054,62,1.0648860262785087,0.2761764248625719,6,0.9057090300643545,536,0.01397001775294324,74.9539942688551,0.9360502290244761,0.9981028224300197,0.8704312777494198,0.8616580067609867,PRUNED
12,0.8612763769972359,2026-01-04 21:11:33.636757,2026-01-04 21:11:34.467166,0 days 00:00:00.830409,0.8699769036313872,61,1.4725414121975513,0.12352078751011566,6,0.10180474567515996,1660,0.011059573042140761,11.017508898313642,1.2083036055284548,0.729026878480028,0.8704986949947511,0.8612763769972359,PRUNED
13,0.8598311198004449,2026-01-04 21:11:34.469162,2026-01-04 21:11:36.170376,0 days 00:00:01.701214,0.7556776223329265,77,3.1623382730073106,0.08547093288643572,4,0.7840245728138988,1286,6.812877491952477,0.010431652521790853,2.7346038257272705,0.7585119226627116,0.8623719072338705,,COMPLETE
14,0.8545487980468262,2026-01-04 21:11:36.172371,2026-01-04 21:11:37.709875,0 days 00:00:01.537504,0.8878806299555186,58,0.44186545604541694,0.007264868511674803,9,0.010837458307074586,2570,0.0012264916190914657,0.1373101609562379,0.5184548407742604,0.8470689750073055,0.8545487980468262,,PRUNED
15,0.8616227932890949,2026-01-04 21:11:37.712867,2026-01-04 21:11:38.689199,0 days 00:00:00.976332,0.7502279576164133,71,2.2323685924968055,0.08018619922762686,7,2.17367170968283,1998,0.03787342445115752,1.9972155641950329,0.9276558392791435,0.777736780526046,0.8616227932890949,,PRUNED
16,0.8597414307865667,2026-01-04 21:11:38.692191,2026-01-04 21:11:45.157276,0 days 00:00:06.465085,0.7867821218193211,84,1.8005129541557072,0.005490154196699212,5,0.03781287552331536,1336,0.8649179162884291,33.20918062076813,3.459284677870123,0.6932398111528855,0.8597414307865667,,PRUNED
17,0.8681968776184377,2026-01-04 21:11:45.159272,2026-01-04 21:11:45.876968,0 days 00:00:00.717696,0.6025220716944765,75,0.8132989054548125,0.03961267718824917,9,0.18188829600736625,1856,0.004743884999851372,5.734734366887106,2.092441781799567,0.959596794051917,0.8681968776184377,,PRUNED
18,0.8616071428571429,2026-01-04 21:11:45.878963,2026-01-04 21:11:46.905228,0 days 00:00:01.026265,0.7101544660876488,66,3.426262565329454,0.13773338673732474,7,7.674127487311122,2605,0.04381221123499453,0.6180173008002017,0.9081779854413742,0.8591387195398086,0.8616071428571429,,PRUNED
19,0.870276579248972,2026-01-04 21:11:46.908221,2026-01-04 21:11:50.127653,0 days 00:00:03.219432,0.890624901880698,57,1.842013760690068,0.009039823931440222,8,0.4852590320355016,959,3.077375917003158,27.18190335881224,1.3607974070726259,0.8182473127505019,0.870276579248972,,PRUNED
20,0.8604850670801591,2026-01-04 21:11:50.130645,2026-01-04 21:11:53.376250,0 days 00:00:03.245605,0.7884603760553162,89,2.6010776890579765,0.02560644274732776,5,2.1074220865547186,564,0.41976463551688975,1.5842607307950989,0.6794447451910037,0.6824600578407095,0.8625825861255308,,COMPLETE
21,0.8603853858674192,2026-01-04 21:11:53.379242,2026-01-04 21:11:56.336178,0 days 00:00:02.956936,0.8001789082087889,89,2.7128163736098934,0.02817366669826677,5,2.204618806051647,570,0.47266307485101233,1.375150789153363,0.6770347446780879,0.6855388162569912,0.8715364390211016,0.8627050808525392,COMPLETE
22,0.8603986285406092,2026-01-04 21:11:56.339170,2026-01-04 21:11:58.455030,0 days 00:00:02.115860,0.7762775579097244,100,3.7450124505991713,0.06264579906371358,5,2.1113997018710453,1090,0.5299238654205551,0.22279684427550922,0.7197314930521818,0.6741144569982664,0.8626003433463995,,COMPLETE
23,0.8600745442112665,2026-01-04 21:11:58.458022,2026-01-04 21:12:00.319933,0 days 00:00:01.861911,0.7841197719830512,100,3.955987702717052,0.06061469148070758,5,2.4445219840314665,1078,0.3966444250514515,0.17982637372902077,0.7067678045440821,0.6689915670845855,0.8623120142346697,,COMPLETE
24,0.8622659658483497,2026-01-04 21:12:00.321928,2026-01-04 21:12:02.994864,0 days 00:00:02.672936,0.8553910598709134,94,3.8859227928836586,0.02475099699289275,5,4.092149802382258,713,0.4443056475070884,0.6752294330652017,0.7075169865417589,0.6880443602816902,0.8622659658483497,,PRUNED
25,0.8599529523937937,2026-01-04 21:12:02.997856,2026-01-04 21:12:04.811813,0 days 00:00:01.813957,0.7884999540601509,89,3.5069804480972415,0.053843314751373494,4,1.5231417000891583,505,0.06680063616645797,0.2940553682656237,1.1021175179517275,0.6613515889278375,0.862588003582745,,COMPLETE
26,0.8588042106885228,2026-01-04 21:12:04.814806,2026-01-04 21:12:10.276470,0 days 00:00:05.461664,0.7366116455614751,97,2.833589484268869,0.010357682438416926,5,9.491003499130228,1011,2.807377258136241,4.263231801782666,0.6811422061014651,0.7164878190426548,0.8588042106885228,,PRUNED
27,0.8618768118384683,2026-01-04 21:12:10.278465,2026-01-04 21:12:13.275657,0 days 00:00:02.997192,0.9148370560326133,87,4.363928242619169,0.01584501327155283,6,1.5478883740248264,1150,0.5119087147014232,0.05059477128724087,0.9058786185316706,0.7528554167749038,0.870666636168389,0.8618768118384683,PRUNED
28,0.8703512197705887,2026-01-04 21:12:13.278649,2026-01-04 21:12:13.969923,0 days 00:00:00.691274,0.8078512340928479,95,3.4493064738736687,0.08825053777458226,5,4.157069776817201,749,0.2547940767184272,0.857294128445524,1.106214770576381,0.6016582093897359,0.8703512197705887,,PRUNED
29,0.8689210110660592,2026-01-04 21:12:13.972916,2026-01-04 21:12:18.777011,0 days 00:00:04.804095,0.7210839570696738,86,2.7884894213794102,0.004605970178031705,4,1.4543741349611758,1547,1.8043764088279879,1.3122964367337502,9.72489842496108,0.6986087204230561,0.8689210110660592,,PRUNED
30,0.8603617898315532,2026-01-04 21:12:18.779006,2026-01-04 21:12:21.541081,0 days 00:00:02.762075,0.8434103760425019,100,2.160136067728273,0.02681143401205494,6,0.45731940237033103,652,0.7288588866599658,0.2761692963724517,0.6234019065839467,0.6445497167009114,0.8625795764270786,,COMPLETE
31,0.8605404455316814,2026-01-04 21:12:21.543076,2026-01-04 21:12:24.044452,0 days 00:00:02.501376,0.840776508154905,99,2.0416825444938578,0.02890856777593374,6,0.43963891606885885,686,0.7680658536401899,0.3310815302851788,0.6385155102441382,0.6459363772902229,0.8710928094692337,0.8628417211622734,COMPLETE
32,0.8600389093815913,2026-01-04 21:12:24.047443,2026-01-04 21:12:27.607112,0 days 00:00:03.559669,0.772970696672257,93,1.799229177955043,0.01619260245281017,5,3.2923446800051424,864,0.09471278284523406,0.11416911063615129,0.8377304682492448,0.6606929545391658,0.8710795667960437,0.8627511292388593,COMPLETE
33,0.8698359593955562,2026-01-04 21:12:27.610104,2026-01-04 21:12:28.351022,0 days 00:00:00.740918,0.8091571723897348,90,2.537755454275999,0.06381863528073667,6,5.830388072218196,756,1.3525900657603454,0.3944343230662095,0.7856084227488846,0.6312482938650317,0.8698359593955562,,PRUNED
34,0.8623351889127525,2026-01-04 21:12:28.354015,2026-01-04 21:12:30.506685,0 days 00:00:02.152670,0.9344315558352394,95,3.136578329328566,0.035263238276645466,5,1.2404657636331897,1439,0.28013770859843573,1.0781110576653312,0.554210584719214,0.6766737402355602,0.871145780161994,0.8623351889127525,PRUNED
35,0.8621163838352709,2026-01-04 21:12:30.509677,2026-01-04 21:12:32.810184,0 days 00:00:02.300507,0.7717573181644911,78,2.2797897169799595,0.0254625002011753,6,0.4828358129326941,623,2.5570292041530047,2.9885364030042822,1.6722198390752632,0.7100427904406619,0.8715725554025292,0.8621163838352709,PRUNED
36,0.8606310976490643,2026-01-04 21:12:32.813177,2026-01-04 21:12:35.127427,0 days 00:00:02.314250,0.9815409674914153,83,3.7892060831230743,0.02028600755655253,4,0.1324914457895765,956,0.9105645460134695,0.057560458895566685,0.5023182530234743,0.7410570602566342,0.8606310976490643,,PRUNED
37,0.8699762113434331,2026-01-04 21:12:35.130419,2026-01-04 21:12:36.727469,0 days 00:00:01.597050,0.8280711324283838,97,4.194982349607339,0.013203846810102622,5,3.3505755687802736,503,0.5651301744346154,0.1932462888241952,0.613086562089391,0.6482066989308575,0.8699762113434331,,PRUNED
38,0.859850863422292,2026-01-04 21:12:36.730461,2026-01-04 21:12:38.815876,0 days 00:00:02.085415,0.8580701276018767,91,2.5443163962301525,0.03172475237231697,5,0.057576904470058365,1120,0.21455784776936304,0.4296504751406795,1.2858108663456314,0.6231350061775418,0.8625455668345677,,COMPLETE
