number,value,datetime_start,datetime_complete,duration,params_class_weight,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
33,0.8737347227706562,2025-12-31 00:25:21.706307,2025-12-31 00:25:28.426419,0 days 00:00:06.720112,,15,0.5707817579307806,11,10,875,0.8737347227706562,,PRUNED
34,0.8721480097466077,2025-12-31 00:25:28.427416,2025-12-31 00:25:34.521888,0 days 00:00:06.094472,balanced,13,0.45392598714597426,17,22,728,0.8721480097466077,,PRUNED
35,0.8641138003101194,2025-12-31 00:25:34.523911,2025-12-31 00:25:53.192233,0 days 00:00:18.668322,,10,0.5014889655535253,9,19,1007,0.8745882732517263,0.8677243549614277,COMPLETE
36,0.8642385222139823,2025-12-31 00:25:53.194299,2025-12-31 00:26:08.250505,0 days 00:00:15.056206,balanced,11,0.4435726538856495,1,40,858,0.874201827970452,0.8681728000308193,COMPLETE
37,0.8640328996157216,2025-12-31 00:26:08.251639,2025-12-31 00:26:22.427907,0 days 00:00:14.176268,balanced,10,0.5514257611203537,2,45,857,0.867625034912502,,COMPLETE
38,0.8697655324517726,2025-12-31 00:26:22.429131,2025-12-31 00:26:31.098969,0 days 00:00:08.669838,balanced,9,0.8430507874260855,1,5,952,0.8697655324517726,,PRUNED
39,0.874142837880787,2025-12-31 00:26:31.101137,2025-12-31 00:26:35.951501,0 days 00:00:04.850364,balanced,11,0.44084407941624565,5,50,783,0.874142837880787,,PRUNED
40,0.8635998642024059,2025-12-31 00:26:35.952595,2025-12-31 00:26:48.229955,0 days 00:00:12.277360,balanced,7,0.42999485983811064,25,29,1139,0.8635998642024059,,PRUNED
41,0.8569442170450059,2025-12-31 00:26:48.230955,2025-12-31 00:26:55.024755,0 days 00:00:06.793800,balanced,11,0.45954946630531057,49,39,653,0.8569442170450059,,PRUNED
42,0.8646658993942079,2025-12-31 00:26:55.027151,2025-12-31 00:27:03.397666,0 days 00:00:08.370515,balanced,15,0.4948202680862779,21,42,709,0.8646658993942079,,PRUNED
43,0.8646348393061803,2025-12-31 00:27:03.399751,2025-12-31 00:27:15.659609,0 days 00:00:12.259858,,12,0.4048501596077113,14,33,847,0.8747929327464823,0.8681083924839403,COMPLETE
44,0.8644677408481088,2025-12-31 00:27:15.661779,2025-12-31 00:27:31.249602,0 days 00:00:15.587823,,12,0.4014505440499929,14,33,1104,0.8747736706763876,0.867891694195375,COMPLETE
