number,value,datetime_start,datetime_complete,duration,params_class_weight,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.8545280311275052,2026-01-01 10:41:08.762184,2026-01-01 10:41:53.542824,0 days 00:00:44.780640,balanced,11,0.8679854848712821,40,23,530,,,COMPLETE
1,0.8548771561479713,2026-01-01 10:41:53.545092,2026-01-01 10:43:27.940180,0 days 00:01:34.395088,balanced,15,0.7005970753140752,18,44,1263,0.8579259806801437,,COMPLETE
2,0.8512770752472768,2026-01-01 10:43:27.945167,2026-01-01 10:44:47.977460,0 days 00:01:20.032293,,10,0.8636959729674244,1,26,744,0.8611939112596432,0.8535288112413442,COMPLETE
3,0.8510966739220464,2026-01-01 10:44:47.978984,2026-01-01 10:45:30.013005,0 days 00:00:42.034021,balanced,4,0.7908268859359464,47,20,1039,0.8510966739220464,,PRUNED
4,0.8547485818300892,2026-01-01 10:45:30.015012,2026-01-01 10:46:36.247914,0 days 00:01:06.232902,balanced,10,0.8812885852480954,22,44,680,0.8640326588398455,0.8576557097591277,COMPLETE
5,0.8557001280927661,2026-01-01 10:46:36.249921,2026-01-01 10:48:11.026490,0 days 00:01:34.776569,balanced,6,0.9455895753834835,23,47,1146,0.857964504820333,,COMPLETE
6,0.8585306892931784,2026-01-01 10:48:11.029511,2026-01-01 10:48:32.815992,0 days 00:00:21.786481,,12,0.4259944376168821,27,31,356,0.8610656981055755,,COMPLETE
7,0.8608363590835106,2026-01-01 10:48:32.819025,2026-01-01 10:48:49.029841,0 days 00:00:16.210816,balanced,5,0.4040584371940017,29,31,904,0.8608363590835106,,PRUNED
8,0.8609423004690315,2026-01-01 10:48:49.030850,2026-01-01 10:49:54.416108,0 days 00:01:05.385258,,15,0.5711505760147059,40,48,1249,0.8609423004690315,,PRUNED
9,0.8567648390172492,2026-01-01 10:49:54.418626,2026-01-01 10:50:53.055260,0 days 00:00:58.636634,,8,0.9892028449131727,23,4,535,0.8668352900386205,0.8594771792624554,COMPLETE
10,0.858087902456877,2026-01-01 10:50:53.057255,2026-01-01 10:51:09.435498,0 days 00:00:16.378243,,13,0.4044453545057708,11,11,331,0.858087902456877,,PRUNED
11,0.8595559129739675,2026-01-01 10:51:09.437502,2026-01-01 10:51:31.104204,0 days 00:00:21.666702,,7,0.5501189848469906,31,11,322,0.8681583534782484,0.8618596565572904,COMPLETE
12,0.8597292716048193,2026-01-01 10:51:31.107594,2026-01-01 10:51:51.737196,0 days 00:00:20.629602,,7,0.54264766172172,32,34,304,0.8621112673479018,,COMPLETE
