number,value,datetime_start,datetime_complete,duration,params_auto_class_weights,params_bagging_temperature,params_depth,params_early_stopping_rounds,params_iterations,params_l2_leaf_reg,params_learning_rate,params_random_strength,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.86193285242365,2025-12-31 18:13:53.453766,2025-12-31 18:18:15.145971,0 days 00:04:21.692205,Balanced,1.3629630264132082,8,98,1594,13.849507661133075,0.0029813770307052724,3.8998790405940174,,,COMPLETE
1,0.867371497914881,2025-12-31 18:18:15.148007,2025-12-31 18:18:33.874839,0 days 00:00:18.726832,None,1.8512537739519748,6,50,1752,5.4181589388967515,0.14783979348659035,3.563510134914501,0.8697956294362956,,COMPLETE
2,0.8664006895821093,2025-12-31 18:18:33.876906,2025-12-31 18:19:14.252116,0 days 00:00:40.375210,None,1.8441200300098726,10,70,1412,2.894574379361577,0.08210795783307676,0.37690620821488274,0.8761761901551559,0.8685261386291183,COMPLETE
3,0.8682854831408733,2025-12-31 18:19:14.254219,2025-12-31 18:19:48.287990,0 days 00:00:34.033771,Balanced,4.010738210400795,6,85,1920,29.957775247880715,0.08990424563322696,2.180867119478397,0.8781108243202898,0.8703680740819216,COMPLETE
4,0.8677189375042136,2025-12-31 18:19:48.289453,2025-12-31 18:20:32.716477,0 days 00:00:44.427024,Balanced,0.9214354190690682,10,80,1605,43.3774318247049,0.0034831692310756976,0.2990461138992595,0.8677189375042136,,PRUNED
5,0.8704394641292101,2025-12-31 18:20:32.717596,2025-12-31 18:21:33.438467,0 days 00:01:00.720871,None,0.5594715878720191,4,50,1904,0.20829257190366926,0.02094469016016961,2.5148341655630917,0.8725717752886903,,COMPLETE
6,0.8681499263225819,2025-12-31 18:21:33.442870,2025-12-31 18:24:41.073720,0 days 00:03:07.630850,Balanced,3.959820676458199,10,74,2477,92.96636809266307,0.033843711201495215,4.794008810764333,0.8681499263225819,,PRUNED
7,0.8629961186928758,2025-12-31 18:24:41.075147,2025-12-31 18:25:22.820906,0 days 00:00:41.745759,Balanced,0.6197135024348149,6,79,634,0.6406098809229878,0.00305288991400139,4.910023707609772,0.8629961186928758,,PRUNED
8,0.871957194864732,2025-12-31 18:25:22.822201,2025-12-31 18:26:39.241612,0 days 00:01:16.419411,Balanced,2.6792583126580793,4,72,1073,39.7979570825794,0.014732992751498175,2.0837676890134658,0.871957194864732,,PRUNED
9,0.8780217372461018,2025-12-31 18:26:39.243631,2025-12-31 18:27:26.918984,0 days 00:00:47.675353,None,3.7303170456835835,10,72,2064,6.667918152888748,0.032837288735053455,0.7491685799496361,0.8780217372461018,,PRUNED
