number,value,datetime_start,datetime_complete,duration,params_auto_class_weights,params_bagging_temperature,params_depth,params_early_stopping_rounds,params_iterations,params_l2_leaf_reg,params_learning_rate,params_random_strength,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.8512549238666679,2026-03-01 12:01:17.826493,2026-03-01 12:04:22.990687,0 days 00:03:05.164194,Balanced,1.3629630264132082,8,98,1594,13.849507661133075,0.0029813770307052724,3.8998790405940174,,,COMPLETE
1,0.8626226753089157,2026-03-01 12:04:22.992704,2026-03-01 12:04:43.682891,0 days 00:00:20.690187,None,1.8512537739519748,6,50,1752,5.4181589388967515,0.14783979348659035,3.563510134914501,0.8640269404127863,,COMPLETE
2,0.8581728963411699,2026-03-01 12:04:43.683919,2026-03-01 12:05:10.425521,0 days 00:00:26.741602,None,1.8441200300098726,10,70,1412,2.894574379361577,0.08210795783307676,0.37690620821488274,0.8679681405360634,0.8596568582600572,COMPLETE
3,0.8635573672602594,2026-03-01 12:05:10.426521,2026-03-01 12:05:52.056400,0 days 00:00:41.629879,Balanced,4.010738210400795,6,85,1920,29.957775247880715,0.08990424563322696,2.180867119478397,0.8729943369513922,0.8655703137791219,COMPLETE
4,0.8692966214329054,2026-03-01 12:05:52.058594,2026-03-01 12:08:05.090449,0 days 00:02:13.031855,Balanced,0.9214354190690682,10,80,1605,43.3774318247049,0.0034831692310756976,0.2990461138992595,0.8692966214329054,,PRUNED
5,0.8647360253681463,2026-03-01 12:08:05.091911,2026-03-01 12:08:58.564490,0 days 00:00:53.472579,None,0.5594715878720191,4,50,1904,0.20829257190366926,0.02094469016016961,2.5148341655630917,0.8745888751914168,0.8647360253681463,PRUNED
6,0.8722256599666767,2026-03-01 12:08:58.565490,2026-03-01 12:09:44.132250,0 days 00:00:45.566760,Balanced,3.959820676458199,10,74,2477,92.96636809266307,0.033843711201495215,4.794008810764333,0.8722256599666767,,PRUNED
7,0.8451955581666362,2026-03-01 12:09:44.133252,2026-03-01 12:09:49.510753,0 days 00:00:05.377501,Balanced,0.6197135024348149,6,79,634,0.6406098809229878,0.00305288991400139,4.910023707609772,0.8451955581666362,,PRUNED
8,0.8637316889946163,2026-03-01 12:09:49.511794,2026-03-01 12:11:04.496410,0 days 00:01:14.984616,Balanced,2.6792583126580793,4,72,1073,39.7979570825794,0.014732992751498175,2.0837676890134658,0.8637316889946163,,PRUNED
9,0.8714028084098198,2026-03-01 12:11:04.497410,2026-03-01 12:11:25.944429,0 days 00:00:21.447019,None,3.7303170456835835,10,72,2064,6.667918152888748,0.032837288735053455,0.7491685799496361,0.8714028084098198,,PRUNED
10,0.8693231067792857,2026-03-01 12:11:25.945438,2026-03-01 12:11:35.117398,0 days 00:00:09.171960,Balanced,4.739486462136872,8,95,2979,0.01361190166330694,0.2285958514550427,1.7860771671691253,0.8693231067792857,,PRUNED
11,0.8716441862256936,2026-03-01 12:11:35.118838,2026-03-01 12:11:41.281075,0 days 00:00:06.162237,None,2.6087232180060225,6,61,2507,1.9377848208467274,0.26497086983026463,3.2136304348526243,0.8716441862256936,,PRUNED
12,0.8638836185724881,2026-03-01 12:11:41.282557,2026-03-01 12:12:33.630549,0 days 00:00:52.347992,None,3.3565986156923384,6,88,2197,15.290174924087044,0.09161333532745287,3.2669341883407945,0.8656825755313924,,COMPLETE
